review,review_processed,label_text,source_file,review_rating,vader_compound,textblob_polarity,textblob_subjectivity,text_sentiment,normalized_key,label_source,language_pattern,pattern_type
I ordered some snacks at 1:30 am at night. They made me wait for 2 hours and they yet want me to wait. Then when i cancelled my order through online help center which is basically a bot or preset texts i had to say it twice for cancelling it. Also i didnt get the refund. Im suppose to get the refund right away. After 13 hours no reply or statement from them. Really disturbing and not hood experience from foodpanda.,i ordered some snacks at 1 30 am at night they made me wait for 2 hours and they yet wa not NOT_me NOT_to NOT_wait then when i cancelled my order through online help center which is basically a bot or preset texts i had to say it twice for cancelling it also i did not NOT_get NOT_the NOT_refund im suppose to get the refund right away after 13 hours no NOT_reply NOT_or NOT_stateme not NOT_from NOT_them really disturbing and not NOT_hood NOT_experience NOT_from NOT_foodpanda CONTRAST_FOCUS wa not NOT_me NOT_to NOT_wait then when i cancelled my order through online help center which is basically a bot or preset texts i had to say it twice for cancelling it also i did not NOT_get NOT_the NOT_refund im suppose to get the refund right away after 13 hours no NOT_reply NOT_or NOT_stateme not NOT_from NOT_them really disturbing and not NOT_hood NOT_experience NOT_from NOT_foodpanda CONTRAST_FOCUS wa not NOT_me NOT_to NOT_wait then when i cancelled my order through online help center which is basically a bot or preset texts i had to say it twice for cancelling it also i did not NOT_get NOT_the NOT_refund im suppose to get the refund right away after 13 hours no NOT_reply NOT_or NOT_stateme not NOT_from NOT_them really disturbing and not NOT_hood NOT_experience NOT_from NOT_foodpanda,wa not me to wait. then when i cancelled my order through online help center which is basically a bot or preset texts i had to say it twice for cancelling it. also i did not get the refund. im suppose to get the refund right away. after 13 hours no reply or stateme not from them. really disturbing and not hood experience from foodpanda.,foodpanda_reviews.csv,1.0,-0.7089,-0.10476190476190476,0.4785714285714286,negative,i ordered some snacks at 1:30 am at night. they made me wait for 2 hours and they yet want me to wait. then when i cancelled my order through online help center which is basically a bot or preset texts i had to say it twice for cancelling it. also i didnt get the refund. im suppose to get the refund right away. after 13 hours no reply or statement from them. really disturbing and not hood experience from foodpanda.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Fake taxi,fake taxi,fake taxi,foodpanda_reviews.csv,5.0,-0.4767,-0.5,1.0,negative,fake taxi,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Cannot update my details. Annoyed.,cannot NOT_update NOT_my NOT_details annoyed,cannot update my details. annoyed.,grab_reviews.csv,1.0,-0.3818,-0.4,0.8,negative,cannot update my details. annoyed.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Error di android marshmallow 😭😭,error di android marshmallow very sad very sad,error di android marshmallow very sad very sad,grab_reviews.csv,1.0,-0.8586,-0.65,1.0,negative,error di android marshmallow 😭😭,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Worst app i wait for my beverage to long,worst app i wait for my beverage to long,worst app i wait for my beverage to long,grab_reviews.csv,1.0,-0.6249,-0.525,0.7,negative,worst app i wait for my beverage to long,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Useless apps.. rider cannot deliver to my address but the restaurant is just 5km+ away.. useless foodpanda,useless apps rider cannot NOT_deliver NOT_to NOT_my NOT_address but the restaura not NOT_is NOT_just NOT_5 NOT_km away useless foodpanda CONTRAST_FOCUS the restaura not NOT_is NOT_just NOT_5 NOT_km away useless foodpanda CONTRAST_FOCUS the restaura not NOT_is NOT_just NOT_5 NOT_km away useless foodpanda,the restaura not is just 5 km away.. useless foodpanda,foodpanda_reviews.csv,1.0,-0.4215,-0.5,0.2,negative,useless apps.. rider cannot deliver to my address but the restaurant is just 5km+ away.. useless foodpanda,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
very bad app disgusting,very bad app disgusting,very bad app disgusting,foodpanda_reviews.csv,1.0,-0.8155,-0.9549999999999998,0.9333333333333333,negative,very bad app disgusting,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Poor Service. Almost like taxi. PICKY DRIVERS...!! Keeps cancelling and choosing riders... You even grayed out the book button so we cant book for a ride.,poor service almost like taxi picky drivers keeps cancelling and choosing riders you even grayed out the book button so we ca not NOT_book NOT_for NOT_a NOT_ride,poor service. almost like taxi. picky drivers...!! keeps cancelling and choosing riders... you even grayed out the book button so we ca not book for a ride.,grab_reviews.csv,1.0,-0.5068,-0.625,0.6,negative,poor service. almost like taxi. picky drivers...!! keeps cancelling and choosing riders... you even grayed out the book button so we cant book for a ride.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
Bad chat customer service. They ask us to wait and then end the chat. Restaurants keep on cancelling the orders. Now have to wait 7 days for refund. Worst service ever. Moving back to swiggy and zomato.,bad chat customer service they ask us to wait and then end the chat restaurants keep on cancelling the orders now have to wait 7 days for refund worst service ever moving back to swiggy and zomato,bad chat customer service. they ask us to wait and then end the chat. restaurants keep on cancelling the orders. now have to wait 7 days for refund. worst service ever. moving back to swiggy and zomato.,foodpanda_reviews.csv,1.0,-0.8555,-0.5666666666666665,0.5555555555555555,negative,bad chat customer service. they ask us to wait and then end the chat. restaurants keep on cancelling the orders. now have to wait 7 days for refund. worst service ever. moving back to swiggy and zomato.,VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
"Their customer service went downhill. The reason why I chose to use Foodpanda over grab is because of it's extremely fast and excellent customer service. Now, Foodpanda had become worst than grab. Their chat support won't provide any realtime resolution and what's worse is that they'll disconnect the chat immediately!!! I noticed this happened when the customer service whas taken over by a call center from Philippines as indicated by the CSR's names. FOODPANDA NEEDS TO MAKE DRASTIC CHANGES!!!!!",their customer service we not NOT_downhill the reason why i chose to use foodpanda over grab is because of it is extremely fast and excellent not NOT_customer NOT_service now foodpanda had become worst than grab their chat support will not NOT_provide NOT_any NOT_realtime NOT_resolution and what's worse is that they'll disconnect the chat immediately i noticed this happened when the customer service whas taken over by a call center from philippines as indicated by the csr's names foodpanda needs to make drastic changes,"their customer service we not downhill. the reason why i chose to use foodpanda over grab is because of it is extremely fast and excellent not customer service. now, foodpanda had become worst than grab. their chat support will not provide any realtime resolution and what's worse is that they'll disconnect the chat immediately!!! i noticed this happened when the customer service whas taken over by a call center from philippines as indicated by the csr's names. foodpanda needs to make drastic changes!!!!!",foodpanda_reviews.csv,1.0,-0.4028,-0.17728515625000002,0.66,negative,"their customer service went downhill. the reason why i chose to use foodpanda over grab is because of it's extremely fast and excellent customer service. now, foodpanda had become worst than grab. their chat support won't provide any realtime resolution and what's worse is that they'll disconnect the chat immediately!!! i noticed this happened when the customer service whas taken over by a call center from philippines as indicated by the csr's names. foodpanda needs to make drastic changes!!!!!",VADER + TextBlob agreement on review text,raw app review (multilingual),real_review
