challenge_id,review,expected_sentiment,language_pattern,pattern_type,review_processed,nb_prediction,svm_prediction,nb_correct,svm_correct
CH001,"The food was delicious, but I don't like it",negative,English,contrast_tail,the food was delicious but i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,negative,negative,True,True
CH002,Food delicious but the taste is horrible,negative,English,contrast_tail,food delicious but the taste is horrible CONTRAST_FOCUS the taste is horrible CONTRAST_FOCUS the taste is horrible,negative,negative,True,True
CH003,"Delivery was fast, however the meal was not fresh",negative,English,contrast_tail,delivery was fast however the meal was stale CONTRAST_FOCUS the meal was stale CONTRAST_FOCUS the meal was stale,negative,negative,True,True
CH004,Nice packaging yet I cannot recommend this food,negative,English,contrast_tail,nice packaging yet i cannot NOT_recommend NOT_this NOT_food CONTRAST_FOCUS i cannot NOT_recommend NOT_this NOT_food CONTRAST_FOCUS i cannot NOT_recommend NOT_this NOT_food,negative,negative,True,True
CH005,Looks amazing but tastes disgusting,negative,English,contrast_tail,looks amazing but tastes disgusting CONTRAST_FOCUS tastes disgusting CONTRAST_FOCUS tastes disgusting,negative,negative,True,True
CH006,Promo was good tapi app tak boleh guna,negative,Manglish,contrast_tail,promo was good but app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,negative,negative,True,True
CH007,Delivery fast tapi food tak sedap,negative,Manglish,contrast_tail,delivery fast but food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,negative,negative,True,True
CH008,Makanan nampak cantik tetapi saya tak puas hati,negative,Malay,contrast_tail,makanan nampak beautiful but saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,negative,negative,True,True
CH009,Driver cepat tapi service teruk,negative,Manglish,contrast_tail,driver fast but service terrible CONTRAST_FOCUS service terrible CONTRAST_FOCUS service terrible,negative,negative,True,True
CH010,Harga murah but food basi,negative,Manglish,contrast_tail,harga cheap but food stale CONTRAST_FOCUS food stale CONTRAST_FOCUS food stale,negative,negative,True,True
CH011,I do not enjoy this meal,negative,English,negation,i dislike this meal,negative,negative,True,True
CH012,The order has never arrived,negative,English,negation,the order has missing delivery,negative,negative,True,True
CH013,Tak sedap langsung,negative,Malay,negation,bad tasting langsung,negative,negative,True,True
CH014,Saya memang tak puas hati,negative,Malay,negation,saya very dissatisfied,negative,negative,True,True
CH015,Food 🤮,negative,Emoji,emoji,food disgusting,negative,negative,True,True
CH016,Not gud,negative,Non-standard English,negation_spelling,bad,negative,negative,True,True
CH017,Food is not guudd,negative,Non-standard English,negation_spelling,food is bad,negative,negative,True,True
CH018,Makanan tak gud,negative,Manglish,negation_spelling,makanan bad,negative,negative,True,True
CH019,"At first the app was slow, but checkout worked perfectly",positive,English,contrast_tail,at first the app was slow but checkout worked perfectly CONTRAST_FOCUS checkout worked perfectly CONTRAST_FOCUS checkout worked perfectly,positive,positive,True,True
CH020,"Food arrived cold, however the restaurant replaced it quickly",positive,English,contrast_tail,food arrived cold however the restaura not NOT_resolved NOT_successfully CONTRAST_FOCUS the restaura not NOT_resolved NOT_successfully CONTRAST_FOCUS the restaura not NOT_resolved NOT_successfully,positive,positive,True,True
CH021,The driver got lost but he was very helpful,positive,English,contrast_tail,the driver got lost but he was very helpful CONTRAST_FOCUS he was very helpful CONTRAST_FOCUS he was very helpful,positive,positive,True,True
CH022,Packaging rosak tapi makanan sedap,positive,Manglish,contrast_tail,packaging broken but makanan delicious CONTRAST_FOCUS makanan delicious CONTRAST_FOCUS makanan delicious,positive,positive,True,True
CH023,Mula lambat tetapi akhirnya service bagus,positive,Malay,contrast_tail,mula late but akhirnya service good CONTRAST_FOCUS akhirnya service good CONTRAST_FOCUS akhirnya service good,positive,positive,True,True
CH024,Not bad at all,positive,English,idiom,acceptable good at all,positive,positive,True,True
CH025,No issue with my order,positive,English,idiom,acceptable good with my order,positive,positive,True,True
CH026,Sedap gila and delivery very fast,positive,Manglish,direct,very delicious and delivery very fast,positive,positive,True,True
CH027,Saya sangat puas hati,positive,Malay,direct,saya sangat satisfied,positive,positive,True,True
CH028,Food 😍 and driver 👍,positive,Emoji,emoji,food love and driver good,positive,positive,True,True
CH029,The order contains one burger,neutral,English,factual,the order contains one burger,neutral,neutral,True,True
CH030,Delivery arrived at eight pm,neutral,English,factual,delivery arrived at eight pm,neutral,neutral,True,True
CH031,I paid using an online wallet,neutral,English,factual,i paid using an online wallet,neutral,neutral,True,True
CH032,Saya order satu nasi,neutral,Malay,factual,saya order satu nasi,neutral,neutral,True,True
CH033,Driver call masa sampai,neutral,Manglish,factual,driver call masa sampai,neutral,neutral,True,True
