audit_id,review,review_processed,text_sentiment,source_file,review_rating,human_sentiment,reviewer_notes
1,i like this app 👌 it delivered very fast and good foods,i like this app ok hand it delivered very fast and good foods,positive,foodpanda_reviews.csv,5,,
2,The apps is perfect.,the apps is perfect,positive,grab_reviews.csv,5,,
3,Delivery and communication,delivery and communication,neutral,foodpanda_reviews.csv,2,,
4,"Misbehaving riders, bad service",misbehaving riders bad service,negative,foodpanda_reviews.csv,1,,
5,This is an amazing app And no danger I am very happy to use this app!,this is an amazing app and no NOT_danger NOT_i NOT_am NOT_very happy to use this app,positive,foodpanda_reviews.csv,5,,
6,They are good and friendly,they are good and friendly,positive,grab_reviews.csv,5,,
7,Food at Door,food at door,neutral,foodpanda_reviews.csv,5,,
8,Sangat membantu mobilitas sehari-hari. Sukses terus Grab 👏,sangat membantu mobilitas sehari hari sukses terus grab clapping hands,neutral,grab_reviews.csv,5,,
9,"Unable to open app. Message shows ""permission denied"" anyone else facing the same issue?",unable to open app message shows permission denied anyone else facing the same issue,negative,grab_reviews.csv,1,,
10,Walang coke nung nakaraang order ko buset,walang coke nung nakaraang order ko buset,neutral,foodpanda_reviews.csv,1,,
11,Best app to use in South East Asia e.g. Malaysia and Singapore,excellent app to use in south east asia e g malaysia and singapore,positive,grab_reviews.csv,5,,
12,Bad services and always give fake promotion code.,bad services and always give fake promotion code,negative,foodpanda_reviews.csv,1,,
13,This app is easy to use. Great app 👍,this app is easy to use great app good,positive,grab_reviews.csv,5,,
14,All are temporary unavailable😞😞😡,all are temporary unavailable disappointed face disappointed face angry,negative,foodpanda_reviews.csv,1,,
15,Fantastis,fantastis,neutral,grab_reviews.csv,5,,
16,Thanks panda..,thanks panda,positive,foodpanda_reviews.csv,5,,
17,An amazing and addictive app to find the best deals possible. Good UI and easy to use,an amazing and addictive app to find the excellent deals possible good ui and easy to use,positive,foodpanda_reviews.csv,5,,
18,After using this allocation life going easy,after using this allocation life going easy,positive,grab_reviews.csv,5,,
19,Keeps updating and I dont see any changes.,keeps updating and i do not NOT_see NOT_any NOT_changes,neutral,foodpanda_reviews.csv,1,,
20,"Secara umum ok, tapi tolong dong diberitahu all driver yg ngerokok jangan merokok di dalam mobil sebelum ambil orderan, penumpang jadi dipaksa menghirup asap/bau rokoknya :-(",secara umum ok but tolong dong diberitahu all driver yg ngerokok jangan merokok di dalam mobil sebelum ambil orderan penumpang jadi dipaksa menghirup asap bau rokoknya CONTRAST_FOCUS tolong dong diberitahu all driver yg ngerokok jangan merokok di dalam mobil sebelum ambil orderan penumpang jadi dipaksa menghirup asap bau rokoknya CONTRAST_FOCUS tolong dong diberitahu all driver yg ngerokok jangan merokok di dalam mobil sebelum ambil orderan penumpang jadi dipaksa menghirup asap bau rokoknya,neutral,grab_reviews.csv,3,,
21,"Constantly lose my login. Ordered food, waited for 50 minutes (I was very hundred), then they canceled order. Had to go to cafe to take some food... Ordered some things from grocery store, they didn't receive several positions( Very bad experience",constantly lose my login ordered food waited for 50 minutes i was very hundred then they canceled order had to go to cafe to take some food ordered some things from grocery store they did not NOT_receive NOT_several NOT_positions NOT_very bad experience,negative,foodpanda_reviews.csv,1,,
22,Dam kom hole aro vlo hoto 😑😑,dam kom hole aro vlo hoto expressionless face expressionless face,neutral,foodpanda_reviews.csv,4,,
23,"Used to love it. But now, it won't load and won't connect to any internet connection. It keeps on saying ""No connection. Check internet connection."" Even though I have excellent internet connection.",used to love it but now it will not NOT_load NOT_and NOT_will not NOT_connect NOT_to NOT_any NOT_internet connection it keeps on saying no NOT_connection check internet connection even though i have excellent not NOT_internet NOT_connection CONTRAST_FOCUS now it will not NOT_load NOT_and NOT_will not NOT_connect NOT_to NOT_any NOT_internet connection it keeps on saying no NOT_connection check internet connection even though i have excellent not NOT_internet NOT_connection CONTRAST_FOCUS now it will not NOT_load NOT_and NOT_will not NOT_connect NOT_to NOT_any NOT_internet connection it keeps on saying no NOT_connection check internet connection even though i have excellent not NOT_internet NOT_connection,positive,grab_reviews.csv,1,,
24,"tadinya jadi aplikasi favorite banget, eh makin kesini tarif naik, promo makin sedikit dan susah, paket combo juga makin dikikis potongannya, jadi amat sangat tidak menghemat sekarang, jadi bukan aplikasi yg sangat membantu penumpang lagi, saya pribadi sebagai penumpang setia kalo bisa si dikembalikan lagi seperti sebelumnya yang sangat membantu penumpang, terima kasih",tadinya jadi aplikasi favorite banget makin kesini tarif naik promo makin sedikit dan susah paket combo juga makin dikikis potongannya jadi amat sangat not NOT_menghemat NOT_sekarang jadi not NOT_aplikasi NOT_yg NOT_sangat NOT_membantu penumpang lagi saya pribadi sebagai penumpang setia kalo bisa si dikembalikan lagi seperti sebelumnya yang sangat membantu penumpang terima kasih,positive,grab_reviews.csv,3,,
25,Thard class type food,thard class type food,neutral,foodpanda_reviews.csv,1,,
26,Grab Is A Thieves I Just want to change my reward from GrabExpress to GrabFood And they said that they cant do it because i already redeemed it And the resolution is just to leave my money to their Company. I will Never ever do any transaction to this Company. Dont Download Grab. They cant help you if you have a problem they only want money from us. 😡🖕,grab is a thieves i just wa not NOT_to NOT_change NOT_my NOT_reward from grabexpress to grabfood and they said that they ca not NOT_do NOT_it NOT_because NOT_i already redeemed it and the resolution is just to leave my money to their company i will never NOT_ever NOT_do NOT_any NOT_transaction to this company do not NOT_download NOT_grab they ca not NOT_help NOT_you NOT_if NOT_you have a problem they only wa not NOT_money NOT_from NOT_us angry middle finger,negative,grab_reviews.csv,1,,
27,This is so good you take your favourite food delevire free plz order food on thos app,this is so good you take your favourite food delevire free plz order food on thos app,positive,foodpanda_reviews.csv,5,,
28,"Simple, quick and effective.",simple quick and effective,positive,foodpanda_reviews.csv,5,,
29,Dan Mitra Driver juga senang.,dan mitra driver juga senang,neutral,grab_reviews.csv,5,,
30,This is good for Service,this is good for service,positive,foodpanda_reviews.csv,4,,
31,Grab charged me for a cancelled food Dominos and One one Pizza place and i messages Grab about this and no response from them. Being a Platinum user i dont get anything special or not even an apology note was sent to me. I am still disappointed ☹️,grab charged me for a cancelled food dominos and one one pizza place and i messages grab about this and no NOT_response NOT_from NOT_them being a platinum user i do not NOT_get NOT_anything NOT_special NOT_or not NOT_even NOT_an NOT_apology NOT_note was se not NOT_to NOT_me i am still disappointed frowning face,negative,grab_reviews.csv,3,,
32,convenience at it's finest,convenience at it is finest,neutral,foodpanda_reviews.csv,5,,
33,Stupid app and now i cant make order and always no connection,stupid app and now i ca not NOT_make NOT_order NOT_and NOT_always no NOT_connection,negative,foodpanda_reviews.csv,1,,
34,"Very bad app as it doesn't provide true discounts, just claims to give discounts.",very bad app as it does not NOT_provide NOT_true NOT_discounts just claims to give discounts,negative,foodpanda_reviews.csv,1,,
35,Happy every meal,happy every meal,positive,foodpanda_reviews.csv,5,,
