pattern_id,review,text_sentiment,language_pattern,pattern_type,review_processed,label_text,source_file,review_rating,normalized_key,vader_compound,textblob_polarity,textblob_subjectivity,label_source
TR0001,"The food looked delicious, but I do not like it.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious but i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"the food looked delicious, but i do not like it.",,,,team-curated linguistic pattern label
TR0002,"The food looked delicious, however I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious however i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"the food looked delicious, however i dislike the taste.",,,,team-curated linguistic pattern label
TR0003,"The food looked delicious, yet the food was stale.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious yet the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"the food looked delicious, yet the food was stale.",,,,team-curated linguistic pattern label
TR0004,"The food looked delicious, tapi I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious but i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"the food looked delicious, tapi i cannot recommend it.",,,,team-curated linguistic pattern label
TR0005,"The food looked delicious, tetapi it tastes awful.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious but it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"the food looked delicious, tetapi it tastes awful.",,,,team-curated linguistic pattern label
TR0006,"The food looked delicious, but food tak sedap.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious but food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"the food looked delicious, but food tak sedap.",,,,team-curated linguistic pattern label
TR0007,"The food looked delicious, however saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious however saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"the food looked delicious, however saya tak puas hati.",,,,team-curated linguistic pattern label
TR0008,"The food looked delicious, yet service teruk gila.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious yet service very terrible CONTRAST_FOCUS service very terrible CONTRAST_FOCUS service very terrible,service very terrible.,curated_multilingual_patterns,,"the food looked delicious, yet service teruk gila.",,,,team-curated linguistic pattern label
TR0009,"The food looked delicious, tapi order langsung tak sampai.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious but order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived,order langsung not arrived.,curated_multilingual_patterns,,"the food looked delicious, tapi order langsung tak sampai.",,,,team-curated linguistic pattern label
TR0010,"The food looked delicious, tetapi app tak boleh guna.",negative,English/Malay/Manglish,contrast_tail,the food looked delicious but app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,app unusable.,curated_multilingual_patterns,,"the food looked delicious, tetapi app tak boleh guna.",,,,team-curated linguistic pattern label
TR0011,"The menu looked good, however I do not like it.",negative,English/Malay/Manglish,contrast_tail,the menu looked good however i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"the menu looked good, however i do not like it.",,,,team-curated linguistic pattern label
TR0012,"The menu looked good, yet I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,the menu looked good yet i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"the menu looked good, yet i dislike the taste.",,,,team-curated linguistic pattern label
TR0013,"The menu looked good, tapi the food was stale.",negative,English/Malay/Manglish,contrast_tail,the menu looked good but the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"the menu looked good, tapi the food was stale.",,,,team-curated linguistic pattern label
TR0014,"The menu looked good, tetapi I cannot recommend it.",negative,English/Malay/Manglish,contrast_tail,the menu looked good but i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it CONTRAST_FOCUS i cannot NOT_recommend NOT_it,i cannot recommend it.,curated_multilingual_patterns,,"the menu looked good, tetapi i cannot recommend it.",,,,team-curated linguistic pattern label
TR0015,"The menu looked good, but it tastes awful.",negative,English/Malay/Manglish,contrast_tail,the menu looked good but it tastes awful CONTRAST_FOCUS it tastes awful CONTRAST_FOCUS it tastes awful,it tastes awful.,curated_multilingual_patterns,,"the menu looked good, but it tastes awful.",,,,team-curated linguistic pattern label
TR0016,"The menu looked good, however food tak sedap.",negative,English/Malay/Manglish,contrast_tail,the menu looked good however food bad tasting CONTRAST_FOCUS food bad tasting CONTRAST_FOCUS food bad tasting,food bad tasting.,curated_multilingual_patterns,,"the menu looked good, however food tak sedap.",,,,team-curated linguistic pattern label
TR0017,"The menu looked good, yet saya tak puas hati.",negative,English/Malay/Manglish,contrast_tail,the menu looked good yet saya dissatisfied CONTRAST_FOCUS saya dissatisfied CONTRAST_FOCUS saya dissatisfied,saya dissatisfied.,curated_multilingual_patterns,,"the menu looked good, yet saya tak puas hati.",,,,team-curated linguistic pattern label
TR0018,"The menu looked good, tapi service teruk gila.",negative,English/Malay/Manglish,contrast_tail,the menu looked good but service very terrible CONTRAST_FOCUS service very terrible CONTRAST_FOCUS service very terrible,service very terrible.,curated_multilingual_patterns,,"the menu looked good, tapi service teruk gila.",,,,team-curated linguistic pattern label
TR0019,"The menu looked good, tetapi order langsung tak sampai.",negative,English/Malay/Manglish,contrast_tail,the menu looked good but order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived CONTRAST_FOCUS order langsung not NOT_arrived,order langsung not arrived.,curated_multilingual_patterns,,"the menu looked good, tetapi order langsung tak sampai.",,,,team-curated linguistic pattern label
TR0020,"The menu looked good, but app tak boleh guna.",negative,English/Malay/Manglish,contrast_tail,the menu looked good but app unusable CONTRAST_FOCUS app unusable CONTRAST_FOCUS app unusable,app unusable.,curated_multilingual_patterns,,"the menu looked good, but app tak boleh guna.",,,,team-curated linguistic pattern label
TR0021,"Packaging was nice, yet I do not like it.",negative,English/Malay/Manglish,contrast_tail,packaging was nice yet i dislike it CONTRAST_FOCUS i dislike it CONTRAST_FOCUS i dislike it,i dislike it.,curated_multilingual_patterns,,"packaging was nice, yet i do not like it.",,,,team-curated linguistic pattern label
TR0022,"Packaging was nice, tapi I dislike the taste.",negative,English/Malay/Manglish,contrast_tail,packaging was nice but i dislike the taste CONTRAST_FOCUS i dislike the taste CONTRAST_FOCUS i dislike the taste,i dislike the taste.,curated_multilingual_patterns,,"packaging was nice, tapi i dislike the taste.",,,,team-curated linguistic pattern label
TR0023,"Packaging was nice, tetapi the food was stale.",negative,English/Malay/Manglish,contrast_tail,packaging was nice but the food was stale CONTRAST_FOCUS the food was stale CONTRAST_FOCUS the food was stale,the food was stale.,curated_multilingual_patterns,,"packaging was nice, tetapi the food was stale.",,,,team-curated linguistic pattern label
